SD_CD,SD_NM,SGG_CD,SGG_NM,EMD_CD,EMD_NM,HJD_CD,USER_DROUG,Shape_Leng,POPCNT,SUPLPPCNT,SUPLPER,STNYEAR,USE1M,USE2M,USE3M,USE4M,USE5M,USE6M,USE7M,USE8M,USE9M,USE10M,USE11M,USE12M,LPCD,WATER1DVNM,WATER1_sou,WATER1NM,WATER1CD,INTAKE1NM,INTAKE1CD,FILTER1NM,FILTER1CD,RESERV1NM,RESERV1CD,LOCAL_DVNA,WSPSYS1CD,Shape_Le_1,Shape_Area
27,대구광역시,27230,북구,27230745,구암동,2723074500,,10998.96963,36622,36622,1,2020,267484,260062,250607,254376,258156,261388,284394,281771,290334,291344,278036,277672,243,댐(K-water),다목적댐,안동댐,2001110,문산취수장,2015007238,문산정수장,2017900041,부곡배수지,2017900065,지방,2700rs05,10998.96963,4162282.535
26,부산광역시,26470,연제구,26470670,연산3동,2647067000,,5006.057476,7471,7471,1,2020,23071,72414,21077,74333,22934,74527,23931,82132,24528,81880,23437,75268,219,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,연산배수지,2015006460,지방,2600rs03,5006.057476,800484.0035
26,부산광역시,26470,연제구,26470680,연산4동,2647068000,,7149.99677,16934,16934,1,2020,97580,206541,88438,204892,88736,209379,98227,237509,98650,216777,92406,211111,299,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,,990001,지방,2600rs03,7149.99677,829216.2133
26,부산광역시,26470,연제구,26470690,연산5동,2647069000,,4549.408528,16679,16679,1,2020,252394,120811,231210,110757,233704,118426,262197,127365,267373,111764,239813,111262,358,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,,990001,지방,2600rs03,4549.408528,699210.7643
26,부산광역시,26410,금정구,26410670,남산동,2641067000,,10605.87359,30530,30530,1,2020,99117,332646,87386,336290,95084,339556,115270,373137,112660,375224,112409,362465,245,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,남산배수지,2015006474,지방,2600rs03,10605.87359,3653781.873
26,부산광역시,26410,금정구,26410680,구서1동,2641068000,,11227.67314,20004,20004,1,2020,103057,187636,97436,189853,102802,194197,112557,212012,112620,214217,110605,194028,250,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,오륜배수지,2015007622,지방,2600rs03,11227.67314,2662064.539
27,대구광역시,27170,서구,27170650,평리4동,2717065000,,3444.922174,18267,18267,1,2020,215961,91811,210008,86963,206069,86895,230478,94515,232647,97520,226953,91608,280,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,3444.922174,736560.5261
27,대구광역시,27170,서구,27170660,평리5동,2717066000,,2655.695752,1822,1822,1,2020,9998,31558,7003,31996,4729,32259,7900,36647,7091,36020,6843,35057,371,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,2655.695752,419087.8855
27,대구광역시,27170,서구,27170661,평리6동,2717066100,,4187.26994,5240,5240,1,2020,11661,61437,10919,60259,11162,68652,12414,71405,12801,70884,11932,67947,246,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,4187.26994,715321.508
27,대구광역시,27170,서구,27170675,상중이동,2717067500,,13407.78001,20601,20601,1,2020,293905,200764,284296,197068,279016,194154,304976,215024,319159,224050,312895,202509,402,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,13407.78001,6750990.663
